Protein_A,Protein_B
PSMC4,Nsp8
PSME3,N
PTBP3,N
PTCD3,Orf9b
PTGES3,Nsp8
PTGR1,Nsp13
PTPN1,JAK1
PTPN1,RHOA
PTPN1,Nsp7
RAB10,Orf3a
RAB10,RAB18
RAB10,RAB1A
RAB10,RAB1B
RAB10,RAB5C
RAB10,RAB7A
RAB10,RAB8A
RAB13,Nsp14
RAB13,RAB1A
RAB13,RAB8A
RAB14,RAB10
RAB14,RAB18
RAB14,RAB1A
RAB14,RAB2A
RAB14,RAB5C
RAB14,RAB7A
RAB14,RAB8A
RAB1A,Orf6
RAB1A,Nsp13
RAB1A,Orf3a
RAB1A,Nsp14
RAB1A,Nsp5
RAB1A,GOSR1
RAB1A,RAB18
RAB1A,STX5
RAB1B,Nsp13
RAB1B,Orf3a
RAB1B,Nsp5
RAB1B,Spike
RAB1B,RAB1A
RAB1B,STX5
RAB1B,YKT6
RAB2A,RAB10
RAB2A,RAB18
RAB2A,RAB1A
RAB2A,RAB5C
RAB2A,RAB7A
RAB2A,RAB8A
RAB35,Nsp13
RAB35,Orf3a
RAB35,Nsp5
RAB35,RAB10
RAB35,RAB1A
RAB35,RAB1B
RAB5C,RAB18
RAB5C,RAB1A
RAB5C,RAB7A
RAB7A,RAB18
RAB7A,RAB1A
RAB8A,Nsp14
RAB8A,RAB18
RAB8A,RAB1A
RAB8A,RAB5C
RAB8A,RAB7A
RAE1,NUP98
RALA,RAB10
RALA,RAB14
RALA,RAB8A
RALA,RHOA
RAN,Nsp13
RAN,Nsp4
RAN,Orf7a
RAN,M
RAN,Nsp6
RBBP4,Nsp8
RBBP4,MCM7
RBM28,RPL36
RBX1,ELOB
REEP5,REEP6
RENT1,MOV10
RHOA,JAK1
RPL18A,RPN2
RPL26,RPN2
RPL27A,RPN2
RPL3,MDN1
RPL3,RPN2
RPL30,RPN2
RPL36,LSG1
RPL7,RPN2
RPL7A,LSG1
RPL13A,Nsp13
RPL13A,Orf3a
RPL13A,Nsp5
RPL14,Nsp2
RPL15,Nsp13
RPL15,Nsp5
RPL18A,Nsp14
RPL18A,Nsp12
RPL21,Nsp13
RPL21,Nsp5
RPL23,Orf3a
RPL26,Nsp13
RPL26,Orf3a
RPL26,Nsp14
RPL26,Nsp5
RPL27,Nsp13
RPL27,Nsp5
RPL27A,Nsp14
RPL27A,Nsp5
RPL28,Nsp13
RPL28,Nsp5
RPL29,Nsp2
RPL3,Nsp13
RPL3,Nsp4
RPL3,Orf7a
RPL3,M
RPL3,Orf3a
RPL3,Nsp14
RPL3,Nsp6
RPL30,Orf3a
RPL30,Nsp14
RPL35A,Orf3a
RPL35A,Nsp5
RPL36AL,Nsp13
RPL36AL,Nsp14
RPL36AL,Nsp5
RPL5,M
RPL6,Nsp13
RPL6,Nsp4
RPL6,M
RPL6,Nsp6
RPL7,Nsp13
RPL7,Nsp14
RPL7A,N
RPN2,Nsp14
RPS10,Nsp1
RPS11,Nsp13
RPS11,M
RPS11,Orf3a
RPS11,Nsp5
RPS12,Nsp1
RPS20,Nsp1
RPS24,Orf3a
RPS27,Nsp13
RPS27,Nsp4
RPS27,Orf7a
RPS27,M
RPS27,Orf3a
RPS27,Nsp14
RPS27,Nsp6
RPS27,Nsp5
RPS27A,M
RPS27A,Orf3a
RPS27L,Nsp13
RPS27L,Nsp4
RPS27L,Orf7a
RPS27L,E
RPS27L,M
RPS27L,Orf3a
RPS27L,Nsp5
RPS27L,Spike
RPS28,Orf7a
RPS3,Orf6
RPS3,Nsp13
RPS3,Nsp4
RPS3,Orf3b
RPS3,E
RPS3,M
RPS3,Orf3a
RPS3,Nsp14
RPS3,Nsp6
RPS3,Nsp5
RPS3,Spike
RPS9,Nsp13
RPS9,Nsp14
RPS9,Nsp5
RPS10,EIF3A
RPS10,EIF3G
RPS12,EIF3A
RPS12,EIF3G
RPS20,EIF3A
RPS20,EIF3G
RPS27,CENPF
RPS27,RPN2
RPS27A,PSMD8
RPS3,RPN2
RPS9,RPN2
RSL1D1,Orf8
RUNDC1,Nsp7
SACS,Nsp15
SAP130,Nsp10
SEC22B,BET1
SEC22B,CALR
SEC22B,GOSR1
SEC22B,KIF11
SEC22B,RAB1A
SEC22B,STIM1
SEC22B,STX5
SEC22B,SURF4
SEC22B,VAPB
SEC24A,RAB1A
SEC24A,STX5
SEC24B,RAB1A
SEC24B,STX5
SCAMP1,Orf3b
SEC22B,Orf6
SEC22B,Nsp4
SEC22B,Orf7a
SEC22B,E
SEC22B,Orf8
SEC23IP,Orf6
SEC24A,Orf6
SEC24B,Orf6
SETD2,Nsp9
SGT,Orf7a
SIGLEC10,Spike
SIL1,HYOU1
SLC1A5,Nsp2
SLC25A3,Nsp4
SLC25A3,M
SLC25A4,Nsp13
SLC25A4,E
SLC25A4,M
SLC25A4,Orf3a
SLC25A4,Nsp14
SLC25A4,Nsp5
SLC25A5,M
SLC25A6,M
SLC4A7,Nsp9
SLC9A3R1,Nsp7
SMAP1,Orf3b
SMC1A,Nsp8
SMC4,Nsp8
SMC4,SMC1A
SMC4,SRP54
SNRPD1,Nsp13
SNRPD1,Nsp15
SNRPD1,Nsp14
SNRPD1,Nsp5
SNX12,Nsp2
SNX3,Orf3b
SNX3,Orf3a
SPA17,Nsp9
SPATS2,N
SPATS2L,Nsp2
SPATS2L,N
Spike,GOLGA7
Spike,ZDHHC5
SQSTM1,Orf7a
SRP19,SRP72
SRP54,SRP19
SRP54,SRP72
SRPK1,N
SRPRA,Nsp4
SRPRA,Orf7a
SRPRA,E
SRPRA,Nsp6
SRSF6,Nsp1
STAU2,N
STAU2,PRKRA
STBD1,Spike
STBD1,ANO6
STC2,NUCB1
STIM1,Nsp4
STIM1,Orf7a
STIM1,E
STIM1,Nsp6
STOM,Orf7a
STOM,SURF4
STX10,Orf3b
STX10,BET1L
STX10,GOSR1
STX10,STX6
STX10,VAMP3
STX5,Orf6
STX5,Spike
STX5,GOSR1
STX6,Orf3b
STX6,GOSR1
SURF4,Orf7a
SURF4,AUP1
TACC1,Nsp4
TACC1,Orf7a
TASOR,Nsp7
TBK1,Nsp6
TBK1,TBKBP1
TEX264,Spike
TIMM10,TIMM10B
TIMM10,TIMM9
TIMM29,TIMM10
TIMM29,TIMM10B
TIMM29,TIMM9
TIMM44,Orf9b
TIMM9,TIMM10B
TLE1,TLE5
TLE3,TLE1
TLE3,TLE5
TMEM33,Nsp14
TMF1,Orf3b
TMF1,STX6
TMPO,Nsp4
TMPO,Orf7a
TMPO,Nsp6
TMPRSS2,Spike
TMTC3,Orf8
TMUB1,Orf3a
TOB1,Nsp9
TOMM5,Orf9b
TRAF3IP2,Nsp15
TRAM1,Nsp14
TRAP1,Orf9b
TRIP11,Orf6
TRIP11,Orf7a
TTC27,Nsp7
TTC37,Nsp7
TTC4,Nsp12
TTC7A,Nsp7
TUBGCP2,TUBGCP3
TUFM,Orf9b
TXNL1,Orf6
TXNL1,Orf3b
TXNL1,Nsp7
U3IP2,RBM28
UBA52,Nsp4
UBA52,E
UGGT1,Orf8
USP10,N
VAMP3,Orf3b
VAMP3,GOSR1
VAMP3,STX6
VAPA,E
VAPA,Spike
VAPB,Orf7a
VAPB,E
VAPB,Spike
VAPB,STX5
VAPB,VAPA
VEZT,Spike
VPS11,VPS39
VPS54,Nsp7
VRK2,E
VRK2,Spike
WWOX,Orf3b
YKT6,Spike
YKT6,STX5
YTHDF1,Nsp9
YTHDF1,N
YTHDF3,N
ZCCHC3,N
ZDHHC5,GOLGA7
ZFP1,Nsp7
ZNF460,Nsp7
ZYG11B,RBX1
